dbms,sf,threads,mean_throughput_speedup,mean_efficiency,mean_throughput_qps
mysql,1.0,1,1.0,1.0,2.727115538402955
mysql,1.0,4,4.112479700747966,1.0281199251869915,3.6411162487193547
mysql,1.0,8,7.932870058107121,0.9916087572633902,2.9128719802203364
mysql,1.0,16,12.489148605572653,0.7805717878482908,3.3281185485035505
oracle,1.0,1,1.0,1.0,1.2523422078952662
oracle,1.0,4,2.1988659069512706,0.5497164767378176,3.450186766502014
oracle,1.0,8,3.5136568505833874,0.4392071063229234,5.409165610088021
oracle,1.0,16,4.332276180652694,0.27076726129079337,6.669404647724545
postgres,1.0,1,1.0,1.0,3.677343744241338
postgres,1.0,4,1.591239114444046,0.3978097786110115,6.128175552925663
postgres,1.0,8,1.7256221429211926,0.21570276786514908,6.591512484986587
postgres,1.0,16,1.9408682498035204,0.12130426561272002,7.149704257577414
sqlserver,1.0,1,1.0,1.0,0.7721538097576232
sqlserver,1.0,4,2.9016044467005897,0.7254011116751474,1.7223566116793163
sqlserver,1.0,8,4.151279998788581,0.5189099998485727,2.2502569052690053
sqlserver,1.0,16,5.116201183622693,0.31976257397641833,2.6795445959457203
